suite,backbone,dataset,variant,method_label,failure_mode,failure_rate,rmse_avg_mean,rmse_avg_std,rmse_avg_n,rmse_worst_mean,rmse_worst_std,rmse_worst_n,mae_avg_mean,mae_avg_std,mae_avg_n,mae_worst_mean,mae_worst_std,mae_worst_n,uplink_mb_mean,uplink_mb_std,uplink_mb_n,runtime_sec_total_mean,runtime_sec_total_std,runtime_sec_total_n,valid_return_rate_mean,valid_return_rate_std,valid_return_rate_n,wasted_assigned_step_ratio_mean,wasted_assigned_step_ratio_std,wasted_assigned_step_ratio_n,returned_assigned_step_ratio_mean,returned_assigned_step_ratio_std,returned_assigned_step_ratio_n,empty_return_rounds_mean,empty_return_rounds_std,empty_return_rounds_n,num_parameters_mean,num_parameters_std,num_parameters_n
failure,gru,ETTm1,mcar_p10,Random,score_correlated,0.2,0.2487711559874572,0.0022577750644806444,10,0.46493607989238805,0.01591551965680421,10,0.16487882398749093,0.0016565780723588313,10,0.3007616075112124,0.008060024575502726,10,95.76861381530762,1.39132695322562,10,74.61185253000585,5.94528652513797,10,0.7934278350515463,0.01152692399281881,10,0.20657216494845362,0.011526923992818806,10,0.7934278350515463,0.01152692399281881,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-Core,uniform,0.05,0.2483702836778569,0.0030670920712044967,10,0.45458549080724764,0.01747269068658349,10,0.16454580460929313,0.002289533161542554,10,0.29784883016866937,0.010243411322159487,10,114.85389709472656,0.9978569397677792,10,90.62527123999898,7.645830267715097,10,0.9515463917525773,0.008267087095339814,10,0.048453608247422675,0.0082670870953398,10,0.9515463917525773,0.008267087095339814,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,uniform,0.05,0.2483622023936804,0.0031500348138359387,10,0.45885822784072416,0.01784081665008717,10,0.16442691463281806,0.0023721434671638885,10,0.29969036070579735,0.010237490438613231,10,114.83834266662598,1.0422627540970537,10,90.18064626998967,7.837456171916777,10,0.9514175257731958,0.008634982251418032,10,0.04866623711340205,0.008981672697632477,10,0.951333762886598,0.008981672697632493,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,Random,uniform,0.05,0.24808240568362727,0.0030368727073404617,10,0.4682534564296478,0.015415260107946785,10,0.16405890013276503,0.0019680171485104807,10,0.3032241844389135,0.010787826879637476,10,114.93166923522949,1.003900136427689,10,90.7947381799866,7.6276186595533995,10,0.9521907216494846,0.008317154024907262,10,0.04780927835051546,0.008317154024907245,10,0.9521907216494846,0.008317154024907262,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-Core,uniform,0.1,0.24871235756013324,0.0027785491570080636,10,0.45409412459538867,0.020839821277568785,10,0.16495356830422642,0.0019488294406369696,10,0.2985259759867719,0.012512750532219511,10,107.90106773376465,1.2616251084165733,10,84.30126950999838,8.16674281701128,10,0.8939432989690721,0.01045236470006872,10,0.10605670103092783,0.010452364700068714,10,0.8939432989690721,0.01045236470006872,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,uniform,0.1,0.24884150145036865,0.0028676044825012665,10,0.45725153506429894,0.02160732815906555,10,0.16493533291401696,0.002030551190336382,10,0.2998059694097809,0.012737901564538188,10,107.90106773376465,1.2743455622365427,10,83.92195583999856,8.804884314369447,10,0.8939432989690722,0.010557751650272628,10,0.10619845360824742,0.010649144381017458,10,0.8938015463917527,0.01064914438101746,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,Random,uniform,0.1,0.24849843417871997,0.0026644777098312317,10,0.4657779153344513,0.01862041066713656,10,0.16452951080019598,0.0016170418484170452,10,0.3027671962579175,0.011912397323865452,10,108.1810474395752,0.715616396997602,10,85.17357139000087,7.226417362976418,10,0.8962628865979383,0.00592876878945115,10,0.10373711340206185,0.005928768789451143,10,0.8962628865979383,0.00592876878945115,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-Core,uniform,0.2,0.2477673895712807,0.002728529945774022,10,0.4520136079186715,0.019304602398048803,10,0.1642655844738738,0.001998237708451127,10,0.2968148955495835,0.01256386088358119,10,96.81076049804688,1.466852120557081,10,74.37985918999766,6.469928549929936,10,0.8020618556701031,0.012152638071997934,10,0.19793814432989693,0.012152638071997934,10,0.8020618556701031,0.012152638071997934,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,uniform,0.2,0.24785515727090207,0.002813719852261526,10,0.45598091123160794,0.020046131004376907,10,0.1642176342575826,0.0020780127443671315,10,0.2983254631849765,0.012790329117618971,10,96.91964149475098,1.5035053204675197,10,74.91065608999342,6.127550901746047,10,0.8029639175257731,0.012456304042445576,10,0.19703608247422683,0.01287209235147659,10,0.8029639175257731,0.012872092351476582,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,Random,uniform,0.2,0.2480045392451044,0.0026051414428992733,10,0.4661432565306406,0.016773489112881203,10,0.16423527364836404,0.001599656765249359,10,0.30266000155572914,0.012255747822205277,10,97.02852249145508,0.9526514043672126,10,74.83005897000548,7.197664848978224,10,0.8038659793814433,0.007892566376533227,10,0.19613402061855673,0.007892566376533228,10,0.8038659793814433,0.007892566376533227,10,0.0,0.0,10,40775.0,0.0,10
