suite,backbone,dataset,variant,method_label,failure_mode,failure_rate,rmse_avg_mean,rmse_avg_std,rmse_avg_n,rmse_worst_mean,rmse_worst_std,rmse_worst_n,mae_avg_mean,mae_avg_std,mae_avg_n,mae_worst_mean,mae_worst_std,mae_worst_n,uplink_mb_mean,uplink_mb_std,uplink_mb_n,runtime_sec_total_mean,runtime_sec_total_std,runtime_sec_total_n,valid_return_rate_mean,valid_return_rate_std,valid_return_rate_n,wasted_assigned_step_ratio_mean,wasted_assigned_step_ratio_std,wasted_assigned_step_ratio_n,returned_assigned_step_ratio_mean,returned_assigned_step_ratio_std,returned_assigned_step_ratio_n,empty_return_rounds_mean,empty_return_rounds_std,empty_return_rounds_n,num_parameters_mean,num_parameters_std,num_parameters_n
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,uniform,0.1,0.24884150145036865,0.0028676044825012665,10,0.45725153506429894,0.02160732815906555,10,0.16493533291401696,0.002030551190336382,10,0.2998059694097809,0.012737901564538188,10,107.90106773376465,1.2743455622365427,10,83.92195583999856,8.804884314369447,10,0.8939432989690722,0.010557751650272628,10,0.10619845360824742,0.010649144381017458,10,0.8938015463917527,0.01064914438101746,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,Random,uniform,0.1,0.24849843417871997,0.0026644777098312317,10,0.4657779153344513,0.01862041066713656,10,0.16452951080019598,0.0016170418484170452,10,0.3027671962579175,0.011912397323865452,10,108.1810474395752,0.715616396997602,10,85.17357139000087,7.226417362976418,10,0.8962628865979383,0.00592876878945115,10,0.10373711340206185,0.005928768789451143,10,0.8962628865979383,0.00592876878945115,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-Core,uniform,0.2,0.2477673895712807,0.002728529945774022,10,0.4520136079186715,0.019304602398048803,10,0.1642655844738738,0.001998237708451127,10,0.2968148955495835,0.01256386088358119,10,96.81076049804688,1.466852120557081,10,74.37985918999766,6.469928549929936,10,0.8020618556701031,0.012152638071997934,10,0.19793814432989693,0.012152638071997934,10,0.8020618556701031,0.012152638071997934,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,CoRA-StepAlloc,uniform,0.2,0.24785515727090207,0.002813719852261526,10,0.45598091123160794,0.020046131004376907,10,0.1642176342575826,0.0020780127443671315,10,0.2983254631849765,0.012790329117618971,10,96.91964149475098,1.5035053204675197,10,74.91065608999342,6.127550901746047,10,0.8029639175257731,0.012456304042445576,10,0.19703608247422683,0.01287209235147659,10,0.8029639175257731,0.012872092351476582,10,0.0,0.0,10,40775.0,0.0,10
failure,gru,ETTm1,mcar_p10,Random,uniform,0.2,0.2480045392451044,0.0026051414428992733,10,0.4661432565306406,0.016773489112881203,10,0.16423527364836404,0.001599656765249359,10,0.30266000155572914,0.012255747822205277,10,97.02852249145508,0.9526514043672126,10,74.83005897000548,7.197664848978224,10,0.8038659793814433,0.007892566376533227,10,0.19613402061855673,0.007892566376533228,10,0.8038659793814433,0.007892566376533227,10,0.0,0.0,10,40775.0,0.0,10
main,gru,Beijing_AQI,hetero,CoRA-Core,none,0.0,0.465066462836589,0.002399913945920749,20,0.6754267768572702,0.009882505323151693,20,0.22186437502169185,0.0014010928909063292,20,0.2576689439129164,0.0019558148257118927,20,79.24899291992188,0.0,20,75.47641760499974,14.670234655117309,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,42571.0,0.0,20
main,gru,Beijing_AQI,hetero,CoRA-StepAlloc,none,0.0,0.465011709595227,0.0024832866507394718,20,0.6751909307774372,0.010039753739301304,20,0.2218510665030396,0.0013554111617317484,20,0.25764701998708356,0.0019358994939317495,20,79.24899291992188,0.0,20,74.35479349500238,15.430786182931842,20,1.0,0.0,20,0.0,0.0,20,1.0,0.0,20,0.0,0.0,20,42571.0,0.0,20
main,gru,Beijing_AQI,hetero,FedAvg,none,0.0,0.4643912401486121,0.0019641053889979153,10,0.6727892688858684,0.009078966393258014,10,0.22180476453850315,0.001662000802335197,10,0.25774481129753407,0.002248100691010119,10,97.43728637695312,0.0,10,92.80822782000178,13.98593344956702,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,42571.0,0.0,10
main,gru,Beijing_AQI,hetero,FedProx,none,0.0,0.47315872295507794,0.00200769531449749,10,0.6822390265989452,0.008058521124526217,10,0.2292911554618225,0.0015262689120954503,10,0.26648723751244136,0.002083046944785811,10,97.43728637695312,0.0,10,121.11498310999013,16.46286846904489,10,1.0,0.0,10,0.0,0.0,10,1.0,0.0,10,0.0,0.0,10,42571.0,0.0,10
main,gru,Beijing_AQI,hetero,LocalOnly,none,0.0,,,0,,,0,,,0,,,0,0.0,0.0,10,88.3730646800017,14.970540889752725,10,,,0,,,0,,,0,,,0,,,0
